,Media Source,Date,Text,Compound,Positive,Neutral,Negative,Tweet Count
11,BBC,Sun Mar 11 10:24:05 +0000 2018,"RT @BBCScotland: Undercover filming reveals Scotland's growing 'bag' problem.

See more from #ShortStuff -  https://t.co/orhxUmskEd 

#come…",-0.25,0.098,0.747,0.155,12
12,BBC,Sun Mar 11 10:05:01 +0000 2018,🐷 Blossom the pig can sit on command! https://t.co/mRGtuk0zqh,0.0,0.0,1.0,0.0,13
13,BBC,Sun Mar 11 10:02:15 +0000 2018,"RT @BBC6Music: 🎂 6 Music launched 16 years ago today. 

When you turned 16, which album did you think was a masterpiece? Do you still love…",0.6808,0.211,0.789,0.0,14
14,BBC,Sun Mar 11 09:38:23 +0000 2018,"RT @1Xtra: The new breed a dancehall artist @thebellablair performs for @davidrodigan #1XtraJamaica 

📺▶ https://t.co/MrnHDz2ZyL https://t.…",0.0,0.0,1.0,0.0,15
15,BBC,Sun Mar 11 09:35:38 +0000 2018,"RT @BBCRadio3: ""To my first Love, my Mother, on whose knee
I learnt love-lore that is not troublesome""
Christina Rossetti's 'Sonnets are fu…",0.7847,0.257,0.743,0.0,16
16,BBC,Sun Mar 11 09:33:16 +0000 2018,RT @TWBBC: Fry-up anyone?  🌭🥓🍳 Did you know just 1.5 sausages could reduce your lifespan by 30 minutes? But 2-3 cups of coffee could gain y…,0.5803,0.131,0.869,0.0,17
17,BBC,Sun Mar 11 09:30:10 +0000 2018,During the Middle Ages the custom developed of allowing people who had moved away to return and visit their mothers… https://t.co/UQD2ySeRH4,0.0,0.0,1.0,0.0,18
18,BBC,Sun Mar 11 08:32:02 +0000 2018,🎤🎶 Singing is for everyone... even if you can't sing. https://t.co/eVIdGhswUT,0.0,0.0,1.0,0.0,19
19,BBC,Sun Mar 11 08:02:00 +0000 2018,"❤️ Happy #MothersDay to all of the amazing mums out there, the mums-to-be and the mums who live on in our hearts.… https://t.co/v9yrzvfhqO",0.8176,0.263,0.737,0.0,20
20,BBC,Sun Mar 11 08:00:48 +0000 2018,"RT @BBCWales: 💐 What better way to say Happy Mother's Day than with a marvellous marshmallow bouquet! 💐

🍡 Let little hands tackle this tas…",0.784,0.266,0.734,0.0,21
21,BBC,Sun Mar 11 07:49:57 +0000 2018,RT @BBCTwo: Celebrate #MothersDay with the #Motherland guide to good parenting... 😂 https://t.co/GMZLEfWuaF,0.765,0.398,0.602,0.0,22
22,BBC,Sun Mar 11 02:07:01 +0000 2018,"RT @bbcasiannetwork: 🎇The Desi party don't start until you've heard @jennyjohalmusic singing 'Narma'  🎇 
#AsianNetworkLive https://t.co/lah…",0.4019,0.162,0.838,0.0,23
23,BBC,Sat Mar 10 20:43:01 +0000 2018,"RT @BBCRadio2: She did it! Over 300 miles cycled. Over £500,000 raised so far for @SportRelief.

@ZoeTheBall, we are so proud! 👏

Donate to…",0.6783,0.172,0.828,0.0,24
24,BBC,Sat Mar 10 20:41:35 +0000 2018,"RT @BBCTwo: A shocking moment in history that changed the fashion world forever.

#ACSVersace continues Wednesday, 9pm, @BBCTwo. https://t.…",-0.4019,0.0,0.863,0.137,25
25,BBC,Sat Mar 10 20:40:14 +0000 2018,"RT @BBCWales: Meet YouTube superstar @Gonth93

💰 Welcome to the world of #YoungWelshPrettyMinted 💰

Tonight, 10.35pm - @BBCOne Wales
Availa…",0.4588,0.158,0.842,0.0,26
26,BBC,Sat Mar 10 20:28:00 +0000 2018,"RT @bbcrb: This. Is. So. Cute! 😍
Who wouldn't love a tiny meal like this! 🤤🥘 https://t.co/73t4rhbopo",0.4605,0.293,0.552,0.155,27
27,BBC,Sat Mar 10 20:27:17 +0000 2018,"RT @BBCScotland: Cathy's been having a great time at the spa! 🇧🇷

Watch #TwoDoorsDown on @BBCiPlayer - https://t.co/JgbkHFXufb https://t.co…",0.6588,0.215,0.785,0.0,28
28,BBC,Sat Mar 10 20:25:58 +0000 2018,"RT @bbcasiannetwork: 🎤 Don't miss a single bit of #AsianNetworkLive🎶 
Here's how to make sure you catch ALL the action 👉 https://t.co/AZIif…",0.4106,0.18,0.82,0.0,29
29,BBC,Sat Mar 10 20:24:22 +0000 2018,RT @BBCiPlayer: Police officer Kris was left paralysed after being hit by a van in the Westminster bridge terrorist attack. Seven months la…,-0.8316,0.0,0.719,0.281,30
30,BBC,Sat Mar 10 20:24:07 +0000 2018,"RT @BBCSport: Ireland have been crowned Six Nations champions with a match to spare.

https://t.co/YFyOxSY0Tp #SixNations https://t.co/K34r…",0.5267,0.185,0.815,0.0,31
31,BBC,Sat Mar 10 18:11:11 +0000 2018,"RT @bbcasiannetwork: 💥#AsianNetworkLive is taking over the airwaves tonight!
Catch all the action from
🔴 6pm on @bbcasiannetwork
🔴 7pm on @…",0.0,0.0,1.0,0.0,32
32,BBC,Sat Mar 10 18:10:57 +0000 2018,"RT @bbcasiannetwork: Which #AsianNetworkLive performance can't you wait for? 🤩 
🎤 @jaysean
🎤 @JasmineSandlas
🎤 @lottoboyzz_
🎤 @omgAdamSaleh…",0.0,0.0,1.0,0.0,33
33,BBC,Sat Mar 10 18:00:13 +0000 2018,🐮🥛 Glass from the past. https://t.co/stRtHiAGGI,0.0,0.0,1.0,0.0,34
34,BBC,Sat Mar 10 17:00:18 +0000 2018,"📸❤️ A different portrait of black fatherhood. 
👉 https://t.co/SX1Lbqsss0 https://t.co/WQnNbAfIYK",0.0,0.0,1.0,0.0,35
35,BBC,Sat Mar 10 16:30:07 +0000 2018,Have we got depression wrong? https://t.co/yFPp67xmxe,-0.7783,0.0,0.37,0.63,36
36,BBC,Sat Mar 10 15:59:11 +0000 2018,"RT @mixital: Enjoying @BBCOne’s Troy? 

Join our new creative challenge &amp; create your own #Troy art! Grab images from our website, make the…",0.8805,0.404,0.596,0.0,37
37,BBC,Sat Mar 10 15:53:39 +0000 2018,"RT @BBCWales: 'Feel the fear and do it anyway'

That's Dilys's motto, and she's the @GWR holder for the Oldest Woman Skydiver in the world!…",-0.5411,0.0,0.873,0.127,38
38,BBC,Sat Mar 10 15:32:03 +0000 2018,"🤖😱 The robots are coming! 

And this time they want to design and assemble your furniture. 😄 https://t.co/naCu7LJ0Mf",0.1511,0.09,0.91,0.0,39
39,BBC,Sat Mar 10 15:00:05 +0000 2018,❤️🐿 The pine marten has emerged as an unlikely ally for the beleaguered native red squirrel in its battle with the… https://t.co/aaJ1XuLJ78,-0.3818,0.0,0.89,0.11,40
40,BBC,Sat Mar 10 14:00:08 +0000 2018,🍴 Do you know how many calories were in your lunch?https://t.co/ouomQAA92I,0.0,0.0,1.0,0.0,41
41,BBC,Sat Mar 10 13:14:03 +0000 2018,"Hindered by short-term memory loss, a man struggles to piece his life back together after his wife's murder.… https://t.co/IDASykaROO",-0.5859,0.0,0.769,0.231,42
42,BBC,Sat Mar 10 13:00:04 +0000 2018,"Heartbreaking. 
https://t.co/W8GJNKq8rm",-0.4588,0.0,0.25,0.75,43
43,BBC,Sat Mar 10 13:00:03 +0000 2018,😂🔥 @GordonRamsay's daughter got him good! https://t.co/0dqwntX5uj,0.4926,0.347,0.653,0.0,44
44,BBC,Sat Mar 10 13:00:03 +0000 2018,"❤️😭 We're not crying... you're crying. 
#TheSilentChild #Oscars https://t.co/ienD3dDtKX",0.3724,0.242,0.758,0.0,45
45,BBC,Sat Mar 10 13:00:03 +0000 2018,😱 Baptism at this church can be a matter of life and death. https://t.co/aEsVqMUPQ2,-0.5859,0.073,0.667,0.26,46
46,BBC,Sat Mar 10 12:00:04 +0000 2018,Don't look down! 😣 https://t.co/r4ChPajO4A,0.0,0.0,1.0,0.0,47
47,BBC,Sat Mar 10 11:59:24 +0000 2018,"RT @BBCRadioWales: ""The pain is so severe it feels like my body wants to explode."" 

#Endometriosis is as common as asthma but it takes, on…",-0.3284,0.063,0.79,0.147,48
48,BBC,Sat Mar 10 11:58:56 +0000 2018,"RT @BBCSpringwatch: We LOVE hedgehogs, but over the last decade we have lost over 40% of our prickly neighbours 😞 Billy's here to give us a…",-0.3256,0.098,0.727,0.175,49
49,BBC,Sat Mar 10 11:46:40 +0000 2018,"RT @bbcasiannetwork: 💃🕺 #AsianNetworkLive is TONIGHT! We are so excited!💃🕺 
📻 Broadcasting live from ✨6pm✨ on Asian Network and 
✨7pm✨ on @…",0.0,0.0,1.0,0.0,50
50,BBC,Sat Mar 10 11:44:35 +0000 2018,RT @BBCAfrica: Could Nigeria's animation houses become as big as Nollywood? #Nigeria #Animation #Yoruba #Lagos #cartoons https://t.co/3Htr9…,0.0,0.0,1.0,0.0,51
51,BBC,Sat Mar 10 11:43:36 +0000 2018,RT @bbcthree: This woman is leading the #disabilibabe movement https://t.co/FlgCordJaC,0.0,0.0,1.0,0.0,52
52,BBC,Sat Mar 10 11:43:31 +0000 2018,RT @BBCArchive: #OnThisDay 1977: Still searching for the perfect Mother's Day present? We humbly suggest a homemade thermodynamicizer - jus…,0.5719,0.179,0.821,0.0,53
53,BBC,Sat Mar 10 11:43:23 +0000 2018,"RT @bbcthesocial: Greg is 23 years old and a world piping champion. #IntoIt

Happy International Bagpipe Day! https://t.co/74f3USdg3H",0.8356,0.345,0.655,0.0,54
54,BBC,Sat Mar 10 10:56:03 +0000 2018,"From boar hair toothbrushes to beeswax food wrap, here's how you can dump the disposable plastics ✅… https://t.co/ydpoHWlJxA",-0.3818,0.0,0.867,0.133,55
55,BBC,Sat Mar 10 10:00:03 +0000 2018,"How is plastic affecting seabirds? 
#OurBluePlanet #BluePlanet2 https://t.co/bcvGKZjsJF",0.0,0.0,1.0,0.0,56
56,BBC,Sat Mar 10 09:00:06 +0000 2018,Do you have a secret British accent? 🤔Take this quiz and we’ll pinpoint which part of the UK you most sound like yo… https://t.co/fiZDg5pK85,0.4173,0.112,0.888,0.0,57
57,BBC,Sat Mar 10 07:59:00 +0000 2018,"🙌 1 year ago today the world became a better place.
#BBCdad https://t.co/Q5I70XxT7T",0.4404,0.244,0.756,0.0,58
58,BBC,Fri Mar 09 19:03:04 +0000 2018,"A new gardening year is beginning at Longmeadow. 🍃🌸🌱🌷

Gardener's World | 8:30pm | @BBCTwo | https://t.co/R2ZqqlaEbQ https://t.co/A9Q43XOoxh",0.0,0.0,1.0,0.0,59
59,BBC,Fri Mar 09 18:00:10 +0000 2018,💘 @MabelMcVey covering @Coldplay's 'Fix You' in the Live Lounge is just perfect. 🙌 https://t.co/Sk9yMymZZs,0.5719,0.236,0.764,0.0,60
60,BBC,Fri Mar 09 17:18:55 +0000 2018,"RT @bbcthesocial: Instead of a plastic straw, why not use a condom? 😏 https://t.co/XBtyZHdfkb",0.0,0.0,1.0,0.0,61
61,BBC,Fri Mar 09 17:00:10 +0000 2018,"Want to improve your persuasion powers? 

😻 Just watch a cat. https://t.co/vA9asFlD9g",0.4939,0.344,0.656,0.0,62
62,BBC,Fri Mar 09 16:56:32 +0000 2018,RT @bbcworldservice: These images of women on their period are greeting commuters in Stockholm. For more listen/download 📻: https://t.co/FL…,0.3818,0.126,0.874,0.0,63
63,BBC,Fri Mar 09 16:56:13 +0000 2018,"RT @bbcwritersroom: ""I felt like a real writer by the end of it!"" 

Find out how we created 6 #Comedy monologues for @bbcasiannetwork #Asia…",0.5848,0.193,0.807,0.0,64
64,BBC,Fri Mar 09 16:53:47 +0000 2018,"RT @BBCScotland: ""If there is a real live superwoman, she is it.""

Meet the surgeon who walked for eight miles in the heavy snow so she cou…",0.0,0.0,1.0,0.0,65
65,BBC,Fri Mar 09 16:39:50 +0000 2018,RT @BBCFOUR: Are we really born to prefer 'boys' or 'girls' toys? The answer might lie with monkeys... https://t.co/TPHeE7cStK,0.0,0.0,1.0,0.0,66
66,BBC,Fri Mar 09 14:30:07 +0000 2018,Noel and Liam Gallagher will headline @BBCRadio2's stages at the BBC's Biggest Weekend Festival in May 🎤👌… https://t.co/q7YblDKT2N,0.4939,0.158,0.842,0.0,67
67,BBC,Fri Mar 09 14:00:18 +0000 2018,♻️ The packaging industry in England has been accused of exaggerating the amount of its plastic that gets recycled.… https://t.co/lHpw5rVHub,-0.4404,0.0,0.822,0.178,68
68,BBC,Fri Mar 09 13:30:05 +0000 2018,Over 80 but as healthy as a 20-year-old: How exercise in old age prevents the immune system from declining… https://t.co/jABPPvkafN,0.7783,0.328,0.672,0.0,69
69,BBC,Fri Mar 09 12:30:02 +0000 2018,"It took almost a year to get to the final look of Snoke. 
#StarWars #TheLastJedi https://t.co/o6ttTvHdQy",0.0,0.0,1.0,0.0,70
70,BBC,Fri Mar 09 12:13:43 +0000 2018,RT @BBCWorld: Winter Paralympics opening ceremony begins in Pyeongchang https://t.co/VP4W2q1Hhe,0.0,0.0,1.0,0.0,71
71,BBC,Fri Mar 09 11:51:14 +0000 2018,RT @bbcthree: BBC Three presents Perfect Day #perfectday2018 https://t.co/oFgg0vJJgP,0.5719,0.316,0.684,0.0,72
72,BBC,Fri Mar 09 11:36:57 +0000 2018,"RT @BBCR1: Happy Birthday, Suga @BTS_twt! 🐻🎈✨ https://t.co/7Al640sBgB",0.6114,0.363,0.637,0.0,73
73,BBC,Fri Mar 09 11:03:23 +0000 2018,RT @bbcarts: 🎶 This is the amazing moment when eight London teenagers hear an #opera singer in the flesh for the first time. Watch the full…,0.5859,0.137,0.863,0.0,74
74,BBC,Fri Mar 09 11:00:05 +0000 2018,"""For the first time, we think we’re actually able to recreate real living heart tissue which is identical to that o… https://t.co/kGIMWWBf4z",0.0,0.0,1.0,0.0,75
75,BBC,Fri Mar 09 10:15:05 +0000 2018,The #BiggestWeekend lineup just got bigger! More artists have been added to all four locations including… https://t.co/5G2GqBHkHK,0.0,0.0,1.0,0.0,76
76,BBC,Fri Mar 09 09:00:04 +0000 2018,🐑 This Lancashire farmer revives frozen lambs by sticking them inside an oven! https://t.co/z1UvoIiRXY,0.4389,0.194,0.806,0.0,77
77,BBC,Fri Mar 09 08:30:08 +0000 2018,"🌊📝 The world's oldest known message in a bottle has been found, almost 132 years after it was thrown into the sea.… https://t.co/fHdTDbK2Mg",0.0,0.0,1.0,0.0,78
78,BBC,Fri Mar 09 08:00:05 +0000 2018,🍋☕️ Fruit tea is good for you. Right...? https://t.co/YExPNJG6bE,0.4404,0.266,0.734,0.0,79
79,BBC,Thu Mar 08 21:28:00 +0000 2018,"This Ancient Egyptian pharaoh invested more in images of himself than any other ruler, and for him, size really did… https://t.co/IUlHKvTATa",0.0,0.0,1.0,0.0,80
80,BBC,Thu Mar 08 20:33:04 +0000 2018,"Jack Jarvis and Victor McDade are back for another hilarious six-part series. 

#StillGame | 9:30pm | @BBCOne |… https://t.co/zFtd4VQyKL",0.4019,0.144,0.856,0.0,81
81,BBC,Thu Mar 08 20:03:04 +0000 2018,"Lucy and Lee are back! 🙌🎉

#NotGoingOut | 9pm | @BBCOne | https://t.co/dUnnFaIoci https://t.co/gSpTMCPrSC",0.0,0.0,1.0,0.0,82
82,BBC,Thu Mar 08 18:00:06 +0000 2018,"What advice would YOU give your younger self? 🤔

#InternationalWomensDay #IWD2018 https://t.co/vIwPLtzTbO",0.0,0.0,1.0,0.0,83
83,BBC,Thu Mar 08 17:30:11 +0000 2018,"In recognition of International Women’s Day, a playlist in celebration of the funniest, saddest and most significan… https://t.co/4WCrxvJxFY",-0.1027,0.159,0.664,0.177,84
84,BBC,Thu Mar 08 17:00:09 +0000 2018,"🔬 More than half of the UK can't name a famous woman in science. 

Time to change that. 
👉 https://t.co/3HVhvFaxaT… https://t.co/KL0D1vIw8S",0.0,0.0,1.0,0.0,85
85,BBC,Thu Mar 08 16:30:05 +0000 2018,"✍️🙌 Lotte Reiniger is the unsung heroine of early animation. 

#InternationalWomensDay #IWD2018 https://t.co/Z4qDFWXcCS",0.5719,0.236,0.764,0.0,86
86,BBC,Thu Mar 08 16:05:42 +0000 2018,"RT @BBCMOTD: Favourite emoji?
Champions League or World Cup?

@TekkerzKid quizzes @ManUtd striker @MarcusRashford for #BBCOwnIt.

📺 Check o…",0.5803,0.181,0.819,0.0,87
87,BBC,Thu Mar 08 15:30:09 +0000 2018,"⚽️🥅 The story of the fall and rise of women's football, told through 10 objects collected by the National… https://t.co/xOi8wNW64N",0.0,0.0,1.0,0.0,88
88,BBC,Thu Mar 08 15:09:13 +0000 2018,"RT @bbcmusic: 🙌 @Camila_Cabello just dropped the video for 'Never Be The Same' 💕
What do you think?

Watch 👉 https://t.co/gv60m6x9Wk https:…",0.0,0.0,1.0,0.0,89
89,BBC,Thu Mar 08 15:00:05 +0000 2018,"Nine-year-old Lola thinks more girls should take up skateboarding.

Lola is rad. 🤘😝

#InternationalWomensDay… https://t.co/EeOygOVfoh",0.0,0.0,1.0,0.0,90
90,BBC,Thu Mar 08 14:30:02 +0000 2018,"🎨🖼 #AnnieSwynnerton: The woman who forced open the male art world and blazed a trail for female artists.
👉… https://t.co/rHDoqWL4iI",-0.4588,0.0,0.857,0.143,91
91,BBC,Thu Mar 08 13:30:05 +0000 2018,"🎓🎒 These women are pushing young girls into school, not marriage. 

#InternationalWomensDay #IWD2018 https://t.co/TIf5lbu3GZ",0.0,0.0,1.0,0.0,92
92,BBC,Thu Mar 08 13:09:22 +0000 2018,"RT @bbcworldservice: In Senegal, graffiti artist Zeinixx is campaigning for women's rights... with spray paint. 🇸🇳 https://t.co/cy2ddCmEKo",0.0,0.0,1.0,0.0,93
93,BBC,Thu Mar 08 13:02:03 +0000 2018,"RT @bbc5live: “That was the end of my childhood”

Money saving expert @MartinSLewis opens up to @tonylivesey about the death of his mum, th…",-0.5994,0.0,0.855,0.145,94
94,BBC,Thu Mar 08 13:00:08 +0000 2018,🎤 🎧Grime through time: A brief history of one of the biggest music genres to come out of the UK https://t.co/876CsOCFsa,0.0,0.0,1.0,0.0,95
95,BBC,Thu Mar 08 12:34:42 +0000 2018,"RT @BBCRadio4: Ten female authors who changed sci-fi: https://t.co/r5s1mqYrQD
#IWD2018 https://t.co/cQxHsT9c3E",0.0,0.0,1.0,0.0,96
96,BBC,Thu Mar 08 12:30:04 +0000 2018,"Thousands of women in the UK can't afford to buy tampons and towels. 

#InternationalWomensDay #IWD2018 https://t.co/66P7IrZ9lB",0.0,0.0,1.0,0.0,97
97,BBC,Thu Mar 08 12:00:02 +0000 2018,"👷👷‍♀️ Building future engineers - it's a lot easier than you think! 

#BitzAndBob | @CbeebiesHQ https://t.co/YV3kTIj0Dx",0.4753,0.205,0.795,0.0,98
98,BBC,Thu Mar 08 11:46:51 +0000 2018,"RT @BBCR1: 💛💛💛 

Who's ready for @thegreatkhalid in the Live Lounge?

Make sure you're listening to @claraamfo at 12pm 👉 https://t.co/48Ruy…",0.5859,0.211,0.789,0.0,99
99,BBC,Thu Mar 08 11:00:05 +0000 2018,"Life advice from one of our all-time favourite women, @DawnFrenchUK.  

#InternationalWomensDay #IWD2018 https://t.co/MAOUgpWb7J",0.0,0.0,1.0,0.0,100
100,CBS,Fri Mar 09 22:48:26 +0000 2018,RT @DierksBentley: Take and post a photo of the woman in your life who inspires you daily! Use the hashtag #WomanAmenACM in your post for a…,0.4926,0.117,0.883,0.0,1
101,CBS,Fri Mar 09 22:24:20 +0000 2018,"RT @MomCBS: If you missed guest star @KChenoweth in the latest episode of #Mom, not to worry! Watch now: https://t.co/RlvXoGOZ0l https://t.…",0.1275,0.113,0.795,0.092,2
102,CBS,Fri Mar 09 21:10:21 +0000 2018,"Give a round of applause to @KelseaBallerini, @MirandaLambert, @Reba, @MarenMorris, and @CarrieUnderwood, the five… https://t.co/Ncp1BTXx6N",0.4215,0.177,0.823,0.0,3
103,CBS,Fri Mar 09 18:27:28 +0000 2018,"RT @thegoodfight: Smart, sexy, and sophisticated. See what's coming this season on #TheGoodFight. https://t.co/CuKhx2G50P https://t.co/ygTI…",0.8658,0.447,0.553,0.0,4
104,CBS,Fri Mar 09 16:02:27 +0000 2018,RT @BlueBloods_CBS: Even stand-up guys fall down sometimes. #BlueBloods is new tonight at 10/9c! https://t.co/UOlDm22wWW,0.0,0.0,1.0,0.0,5
105,CBS,Thu Mar 08 18:00:49 +0000 2018,Today and every day we celebrate the women in our lives who empower and inspire us. Share a story about an influent… https://t.co/9rVtqrElvT,0.8625,0.336,0.664,0.0,6
106,CBS,Thu Mar 08 17:03:04 +0000 2018,Take and post a photo of the woman in your life who inspires you daily! Use the hashtag #WomanAmenACM in your post… https://t.co/7ShhvE48zy,0.4926,0.132,0.868,0.0,7
107,CBS,Wed Mar 07 18:39:10 +0000 2018,"RT @thegoodfight: Meticulously constructed. Soapy &amp; sexy. Intoxicating, savage television. 🔥 Here's what critics are saying about #TheGoodF…",-0.2023,0.15,0.619,0.23,8
108,CBS,Wed Mar 07 17:06:02 +0000 2018,"This just in! @Jason_Aldean, @mirandalambert, @LukeBryanOnline, and many more are set to perform at the 53rd Academ… https://t.co/mfxw2VxzU4",0.0,0.0,1.0,0.0,9
109,CBS,Tue Mar 06 18:10:59 +0000 2018,"Meet the ensemble of talented actors slated to join $1, a new mystery series coming to CBS All Access:… https://t.co/QoyYv7vxwg",0.6705,0.244,0.756,0.0,10
110,CBS,Mon Mar 05 22:16:43 +0000 2018,"Will @Jason_Aldean, @garthbrooks, @LukeBryanOnline, @ChrisStapleton, or @KeithUrban be named Entertainer Of The Yea… https://t.co/rMD8zjeX3s",0.3818,0.167,0.833,0.0,11
111,CBS,Sun Mar 04 08:05:26 +0000 2018,"RT @thegoodfight: It feels good to be back. 👠💄🔥 The season 2 premiere of #TheGoodFight is now streaming, exclusively on CBS All Access: htt…",0.4404,0.116,0.884,0.0,12
112,CBS,Sat Mar 03 20:55:20 +0000 2018,"RT @thegoodfight: Tomorrow, #TheGoodFight is back. Stream the season 2 premiere only on CBS All Access: https://t.co/tNFR8LBJO2 https://t.c…",0.0,0.0,1.0,0.0,13
113,CBS,Fri Mar 02 22:30:01 +0000 2018,"Who are the trailblazing women in your life that inspire you? Join CBS and the ANA's #SeeHer initiative, celebratin… https://t.co/M0KqZ41Bes",0.7096,0.247,0.753,0.0,14
114,CBS,Fri Mar 02 20:30:01 +0000 2018,"Join @maria_bello, @aishatyler and @TeaLeoni in celebrating the accomplishments of women who have contributed to th… https://t.co/MefESBeFL3",0.7096,0.282,0.718,0.0,15
115,CBS,Fri Mar 02 18:45:00 +0000 2018,"In honor of Women's History Month, CBS and the Association of National Advertisers' (ANA) #SeeHer initiative will p… https://t.co/2wtYxKJVuO",0.4939,0.151,0.849,0.0,16
116,CBS,Thu Mar 01 18:59:01 +0000 2018,RT @ZoeListerJones: Tonight’s an all new Life In Pieces and it’s directed by my ride or die @nataliaanderson!!!… https://t.co/2LPfmyLWrY,-0.6981,0.0,0.79,0.21,17
117,CBS,Thu Mar 01 18:12:57 +0000 2018,"RT @MarenMorris: Hot damn! Woke up from my post-wisdom teeth haze to find out I’m up for 4 @ACMawards ! So honored, especially for the Dear…",0.4547,0.159,0.749,0.092,18
118,CBS,Thu Mar 01 18:11:50 +0000 2018,RT @KelseaBallerini: Ohhhhh goodness. Incredible. Thank you thank you thank you. #female https://t.co/1ZTYjNfQeF,0.8591,0.538,0.462,0.0,19
119,CBS,Thu Mar 01 18:10:50 +0000 2018,RT @KeithUrban: ACMs...... HOLY SMOKES!!!!! MAD LOVE TO U ALL THIS MORNING  FOR THESE INCREDIBLE NOMINATIONS. I’M EXTREMELY GRATEFUL!!!!!!!…,0.4885,0.234,0.615,0.151,20
120,CBS,Thu Mar 01 14:36:21 +0000 2018,"RT @ACMawards: Congratulations to this year’s #ACMawards Video of the Year nominees:
“Black” - @DierksBentley
“It Ain’t My Fault” - @Brothe…",0.5994,0.178,0.822,0.0,21
121,CBS,Thu Mar 01 14:29:20 +0000 2018,"RT @ACMawards: Please give a round of applause to this year’s #ACMawards Entertainer of the Year nominees: @Jason_Aldean, @GarthBrooks, @Lu…",0.7717,0.325,0.675,0.0,22
122,CBS,Thu Mar 01 14:15:29 +0000 2018,".@ChrisStapleton, @ThomasRhett, @mirandalambert and more are all nominated for awards at Country Music's Party of t… https://t.co/Vm1vXRUDYJ",0.6908,0.275,0.725,0.0,23
123,CBS,Thu Mar 01 13:50:11 +0000 2018,"The Queen of Country, @Reba, is returning to host the 53rd #ACMawards on Sunday, April 15 at 8/7c. Here are a few o… https://t.co/Iqzz6Gql01",0.0,0.0,1.0,0.0,24
124,CBS,Thu Mar 01 01:04:52 +0000 2018,RT @survivorcbs: It’s time! #Survivor https://t.co/YPk6cGWrUA,0.0,0.0,1.0,0.0,25
125,CBS,Wed Feb 28 19:56:58 +0000 2018,"RT @CBSThisMorning: TOMORROW: The nominees for the 2018 @ACMawards will be announced live by the one-and-only, @Reba! 

Watch on @CBS in ou…",0.0,0.0,1.0,0.0,26
126,CBS,Wed Feb 28 19:08:30 +0000 2018,"RT @thegoodfight: From the set design and costumes to hair and makeup, the production quality is truly next-level. Take a peek inside the u…",0.4404,0.116,0.884,0.0,27
127,CBS,Tue Feb 27 03:23:47 +0000 2018,RT @LivinBiblically: The fun continues on Facebook! The #LivingBiblically cast is live to talk about tonight’s premiere. Tune in here: http…,0.5562,0.152,0.848,0.0,28
128,CBS,Mon Feb 26 22:50:32 +0000 2018,"RT @KevinCanWaitCBS: Can you get all the way through these #KevinCanWait bloopers without laughing?! @KevinJames,@LeahRemini and the rest o…",0.0,0.0,1.0,0.0,29
